0000001 002  -----   -----                    
0003499 100  II      in                       Z5 
0003499 110  NN1     scania                   Z3c 
0003501 010  NN1     labor                    A1.1.1 A12- I3.1/S5+ B1 
0003501 020  II      against                  Z5 
0003501 030  NN1     capital                  I1.1 M7/G1.1 Q1.2 
0003501 040  II      in                       Z5 
0003501 050  AT      the                      Z5 
0003501 060  JJ      political                G1.2 
0003501 070  NN1     economy                  I2.1 I1.3- 
0003503 010  JJ      profitable               I1.1+ A1.5.2+ 
0003503 020  NN2     immigrants               M1/M7/S2mf 
0003503 030  II      in                       Z5 
0003503 040  AT      the                      Z5 
0003503 050  NN1     construction             H1 A1.1.1 O2 X2.1 
0003503 060  IO      of                       Z5 
0003503 070  AT      the                      Z5 
0003503 080  NN      people                   S2mfc 
0003503 090  NN1     home                     H4/H1c M6 
0003505 010  NN1     cuba                     Z2 
0003505 020  NN2     exiles                   M2/G1.2/S5 
0003505 030  NN1     portrait                 C1 Q2.1 
0003505 040  IO      of                       Z5 
0003505 050  AT1     a                        Z5 
0003505 060  NN1     refugee                  M1/S2mf 
0003505 070  NN1     migration                M1 
0003507 010  AT      the                      Z5 
0003507 020  JJ      political                G1.2 
0003507 030  NN1     adaptation               A2.1+ 
0003507 040  NN1     process                  A1.1.1 X4.2 
0003507 050  IO      of                       Z5 
0003507 060  NN2     cubans                   Z2/S2mf 
0003507 070  CC      and                      S2mf[i588.2.1 Z5 
0003507 080  JJ      other                    S2mf[i588.2.2 A6.1- 
0003507 090  JJ      ethnic                   S5+/N5-[i589.2.1 S5+ 
0003507 100  NN2     minorities               S5+/N5-[i589.2.2 N5-/S5+ 
0003507 110  II      in                       Z5 
0003507 120  AT      the                      Z5 
0003507 130  JJ      united                   Z2c[i590.2.1 S5+ 
0003507 140  NN2     states                   Z2c[i590.2.2 G1.1c O4.1 
0003507 150  AT1     a                        Z5 
0003507 160  JJ      preliminary              N4 
0003507 170  NN1     analysis                 X2.4 Y1 
0003509 010  AT1     a                        Z5 
0003509 020  JJ      comparative              A6 Q3 
0003509 030  NN1     perspective              X4.1 C1 
0003509 040  II      on                       Z5 
0003509 050  AT      the                      Z5 
0003509 060  JJ      ethnic                   S5+ 
0003509 070  NN1     enclave                  M7 
0003509 080  NN2     blacks                   O4.3/S2mf O4.3 
0003509 090  NN2     italians                 Z2/S2mf F1 
0003509 100  CC      and                      Z5 
0003509 110  NN2     jews                     S9/S2mf 
0003509 120  II      in                       Z5 
0003509 130  JJ      new                      T3- 
0003509 140  VV0     york                     Z2 Z1mf 
0003509 150  NN1     city                     M7c M7/I2.1c 
0003511 010  JJ      ethnic                   S5+ 
0003511 020  NN2     resources                A9+ W3 
0003511 030  NN1     utilization              A1.5.1 
0003511 040  IO      of                       Z5 
0003511 050  JJ      korean                   Z2 Z2/Q3 
0003511 060  JJ      immigrant                M1/M7/S2mf 
0003511 070  NN2     entrepreneurs            I2.1/S2mf 
0003511 080  II      in                       Z5 
0003511 090  AT      the                      Z5 
0003511 100  NN1     chicago                  Z2 Z3c 
0003511 110  NN1     minority                 N5- 
0003511 120  NN1     area                     M7 A4.1 N3.6 
0003513 010  NN2     problems                 A12- X4.1 N2 B2- 
0003513 020  CC      and                      Z5 
0003513 030  NN2     possibilities            A7+ 
0003513 040  II      in                       Z5 
0003513 050  AT      the                      Z5 
0003513 060  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0003513 070  IO      of                       Z5 
0003513 080  NN1     american                 Z2/S2mf 
0003513 090  NN1     immigration              M1/M7 
0003513 100  CC      and                      Z5 
0003513 110  JJ      ethnic                   S5+ 
0003513 120  NN1     history                  T1.1.1 P1/T1.1.1 Q2.1 B2 
0003515 010  NN1     migration                M1 
0003515 020  CC      and                      Z5 
0003515 030  NN1     development              A2.1+ A5.1+/A2.1 H1 
0003515 040  II      in                       Z5 
0003515 050  AT      the                      Z5 
0003515 060  NN1     caribbean                Z2 
0003515 070  VVG     relating                 A2.2 S3.1 X2.5+ Q2.1 
0003515 080  NN2     policies                 X7+ Q1.2 
0003515 090  CC      and                      Z5 
0003515 100  NN      people                   S2mfc 
0003517 010  NN1     migration                M1 
0003517 020  CC      and                      Z5 
0003517 030  NN1     development              A2.1+ A5.1+/A2.1 H1 
0003517 040  II      in                       Z5 
0003517 050  JJ      modern                   T3- 
0003517 060  NN1     thailand                 Z2 
0003519 010  PPIO2   us                       Z8 
0003519 020  NN1     immigration              M1/M7 
0003519 030  NN1     policy                   X7+ Q1.2 
0003521 010  NN1     state                    G1.1c O4.1 
0003521 020  NN2     policies                 X7+ Q1.2 
0003521 030  CC      and                      Z5 
0003521 040  NN1     migration                M1 
0003521 050  NN2     studies                  P1 X2.4 H2 Q1.2 C1 
0003521 060  II      in                       Z5 
0003521 070  NN1     latin                    Z2[i591.2.1 Z2/Q3 Z2/S2mf 
0003521 080  NN1     america                  Z2[i591.2.2 
0003521 090  CC      and                      Z5 
0003521 100  AT      the                      Z5 
0003521 110  JJ      caribbean                Z2 
0003523 010  NN1     american                 Z2/S2mf 
0003523 020  NN1     odyssey                  Z3 M1 
0003523 030  NN2     haitians                 Z2/S2mf 
0003523 040  II      in                       Z5 
0003523 050  JJ      new                      T3- 
0003523 060  VV0     york                     Z2 Z1mf 
0003523 070  NN1     city                     M7c M7/I2.1c 
0003525 010  AT      the                      Z3c[i592.2.1 Z5 
0003525 020  NN1     sun                      Z3c[i592.2.2 W1 W2 W4 
0003525 030  VBZ     is                       A3+ Z5 
0003525 040  JJ      feminine                 S2.1 
0003525 050  AT1     a                        Z5 
0003525 060  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0003525 070  II      on                       Z5 
0003525 080  NN1     language                 Q3 Y2 
0003525 090  NN1     acquisition              A9+ 
0003525 100  II      in                       Z5 
0003525 110  JJ      bilingual                Q3 
0003525 120  NN2     children                 S2mf/T3- S4mf 
0003527 010  AT      the                      Z5 
0003527 020  JJT     best                     A5.1+++ G2.2+++ O4.2+++ 
0003527 030  IO      of                       Z5 
0003527 040  MC      two                      N1 T3 T1.2 
0003527 050  NN2     worlds                   W1 S5+c A4.1 N5+ 
0003527 060  JJ      bilingual                Q3 
0003527 070  JJ      -bicultural              Z99 
0003527 080  NN1     education                P1 X2.3+ 
0003527 090  II      in                       Z5 
0003527 100  AT      the                      Z5 
0003527 110  ZZ1     u                        Z5 
0003527 120  ZZ1     s                        Z5 
0003529 010  AT      the                      Z5 
0003529 020  NN1     greek                    Z2/S2mf 
0003529 030  NN2     americans                Z2/S2mf 
0003531 010  NN1     continuity               T2++ 
0003531 020  CC      and                      Z5 
0003531 030  VV0     change                   A2.1+ I1 B5 
0003531 040  AT1     a                        Z5 
0003531 050  NN1     profile                  B1 Q1.1 
0003531 060  IO      of                       Z5 
0003531 070  NN1     chinese                  Z2/Q3 Z2/S2mf 
0003531 080  NN2     americans                Z2/S2mf 
0003533 010  NN2     patterns                 X4.2 O4.1 O4.3 B5/Q1.2 
0003533 020  IO      of                       Z5 
0003533 030  NN1     prejudice                A6.1-/E2- G2.2- S5+ 
0003533 040  AT1     a                        Z5 
0003533 050  NN1     history                  T1.1.1 P1/T1.1.1 Q2.1 B2 
0003533 060  IO      of                       Z5 
0003533 070  NN1     nativism                 Z99 
0003533 080  II      in                       Z5 
0003533 090  NN1     alberta                  Z99 
0003535 010  NN1     canada                   Z2 
0003535 020  NN2     immigrants               M1/M7/S2mf 
0003537 010  NN1     chinese                  Z2/Q3 Z2/S2mf 
0003537 020  II      in                       Z5 
0003537 030  AT      the                      Z5 
0003537 040  JJ      post-civil               Z99 
0003537 050  NN1     war                      G3 S7.3 
0003537 060  ND1     south                    M6 
0003537 070  AT1     a                        Z5 
0003537 080  NN      people                   S2mfc 
0003537 090  IW      without                  Z5 
0003537 100  AT1     a                        Z5 
0003537 110  NN1     history                  T1.1.1 P1/T1.1.1 Q2.1 B2 
0003539 010  II      from                     Z5 
0003539 020  RR      sicily                   Z2 
0003539 030  TO      to                       Z5 
0003539 040  VVI     elizabeth                Z1f 
0003539 050  NN1     street                   M3/H3 
0003539 060  NN1     housing                  H1 
0003539 070  CC      and                      Z5 
0003539 080  JJ      social                   S1.1.1 
0003539 090  NN1     change                   A2.1+ I1 B1 
0003539 100  II      among                    Z5 
0003539 110  JJ      italian                  Z2 Z2/Q3 
0003539 120  NN2     immigrants               M1/M7/S2mf 
0003539 130  MC      1880                     N1[i593.2.1 T3[i593.2.1 T1.2[i593.2.1 T1.3[i593.2.1 N3.3[i593.2.1 N3.5[i593.2.1 I1[i593.2.1 N1 T1.2 T3 T1.3 N3.2 
0003539 140  MC      1930                     N1[i593.2.2 T3[i593.2.2 T1.2[i593.2.2 T1.3[i593.2.2 N3.3[i593.2.2 N3.5[i593.2.2 I1[i593.2.2 N1 T1.2 T3 T1.3 N3.2 
0003541 010  AT1     an                       Z5 
0003541 020  JJ      immigrant                M1/M7/S2mf 
0003541 030  NN1     bishop                   S9/S7.1+/S2mf 
0003541 040  NN1     john                     Z1m S9/O1.2 
0003541 050  NN1     england                  Z2 Z1mf 
0003541 060  NN1     adaptation               A2.1+ 
0003541 070  IO      of                       Z5 
0003541 080  JJ      irish                    Z2 Z2/Q3 Z2/S2mfnc 
0003541 090  NN1     catholicism              S9 A6.2+ 
0003541 100  II      to                       Z5 
0003541 110  NN1     american                 Z2/S2mf 
0003541 120  NN1     republicanism            Z99 
0003543 010  ZZ1     l                        Z5 
0003543 020  VV0     espace                   Z3 
0003543 030  NP1     des                      Z5 
0003543 040  NN2     travailleurs             Z99 
0003543 050  NN2     tunisiens                Z99 
0003543 060  FW      en                       Z5 
0003543 070  NN1     france                   Z2 Z1mf 
0003545 010  NN1     reemigracja              Z99 
0003545 020  AT      ze                       Z99 
0003545 030  NN1     stanw                    Z99 
0003545 040  NN1     zjednoczonych            Z99 
0003545 050  VD0     do                       A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5 
0003545 060  NN2     polski                   Z99 
0003545 070  NN1     po                       Z99 
0003545 080  MC1     i                        Z8 
0003545 090  NN1     wojnie                   Z99 
0003545 100  NN1     wiatowej                 Z99 
0003545 110  MC      1919                     N1[i594.2.1 T3[i594.2.1 T1.2[i594.2.1 T1.3[i594.2.1 N3.3[i594.2.1 N3.5[i594.2.1 I1[i594.2.1 N1 T1.2 T3 T1.3 N3.2 
0003545 120  MC      1924                     N1[i594.2.2 T3[i594.2.2 T1.2[i594.2.2 T1.3[i594.2.2 N3.3[i594.2.2 N3.5[i594.2.2 I1[i594.2.2 N1 T1.2 T3 T1.3 N3.2 
0003547 010  JJ      international            M7 
0003547 020  NN1     newsletter               Q4.2 
0003547 030  II      on                       Z5 
0003547 040  NN1     migration                M1 
0003549 010  AT      the                      Z5 
0003549 020  NN1     ilo                      Z3 
0003549 030  CC      and                      Z5 
0003549 040  JJ      contemporary             T1.1.2 
0003549 050  JJ      international            M7 
0003549 060  JJ      economic                 I1.3- I2.1 
0003549 070  NN1     migration                M1 
0003551 010  AT1     a                        Z5 
0003551 020  JJ      conceptual               X4.1 
0003551 030  NN1     analysis                 X2.4 Y1 
0003551 040  IO      of                       Z5 
0003551 050  AT      the                      Z5 
0003551 060  AT1     a                        Z5 
0003551 070  JJ      lien                     I2.2 
0003551 080  NN1     invasion                 G3 X7- N5+ 
0003551 090  VVD     institutionalized        S5+ H1c S1.1.1 
0003551 100  NN1     support                  S8+ O2 I1.1 B5% 
0003551 110  IO      of                       Z5 
0003551 120  JJ      illegal                  G2.1- 
0003551 130  NN1     mexican                  Z2/S2mf 
0003551 140  NN2     aliens                   M7/S2mf W1/S2mf 
0003551 150  II      in                       Z5 
0003551 160  AT      the                      Z5 
0003551 170  PPIO2   us                       Z8 
0003553 010  NN1     fertility                B1/S4 
0003553 020  CC      and                      Z5 
0003553 030  NN1     migration                M1 
0003553 040  AT      the                      Z5 
0003553 050  NN1     case                     A4.1 O2 G2.1 B3 X4.1 Q3 
0003553 060  IO      of                       Z5 
0003553 070  NN1     puerto                   Z99 
0003553 080  NN1     rico                     Z1m 
0003555 010  AT      the                      Z5 
0003555 020  JJ      economic                 I1.3- I2.1 
0003555 030  NN2     effects                  A2.2 A8 
0003555 040  IO      of                       Z5 
0003555 050  NN1     language                 P1/Q3[i595.2.1 Q3 Y2 
0003555 060  NN1     training                 P1/Q3[i595.2.2 P1 K5.1 
0003555 070  II      to                       Z5 
0003555 080  NN2     immigrants               M1/M7/S2mf 
0003555 090  AT1     a                        Z5 
0003555 100  NN1     case                     A4.1[i596.2.1 A4.1 O2 G2.1 B3 X4.1 Q3 
0003555 110  NN1     study                    A4.1[i596.2.2 P1 X2.4 H2 Q1.2 C1 
0003557 010  AT      the                      Z5 
0003557 020  NN1     position                 M6 M7 S7.1 I3.1 N4 S1.1.1 A1.1.1 K5.1% 
0003557 030  IO      of                       Z5 
0003557 040  JJ      new                      T3- 
0003557 050  NN2     immigrants               M1/M7/S2mf 
0003557 060  II      in                       Z5 
0003557 070  AT      the                      Z5 
0003557 080  NN1     fall                     M1 N5-/A2.1 S7.1- L1- A1.8+ G2.2- X9.2- W3/M4 S9 K5 
0003557 090  NN1     river                    W3/M4 N5+ 
0003557 100  NN1     textile                  I4/B5c[i597.2.1 B5 
0003557 110  NN1     industry                 I4/B5c[i597.2.2 I4c I2.1c 
0003559 010  II      toward                   Z5 
0003559 020  JJ      sociogenic               Z99 
0003559 030  NN1     migration                M1 
0003559 040  NN1     theory                   X4.1 
0003561 010  JJ      legislative              G2.1 
0003561 020  CC      and                      Z5 
0003561 030  JJ      judicial                 G2.1 
0003561 040  NN2     developments             A2.1+ A5.1+/A2.1 H1 
0003561 050  PPIO2   us                       Z8 
0003561 060  NN1     congress                 G1.1 
0003561 070  II      on                       Z5 
0003561 080  NN1     immigration              M1/M7 
0003563 010  JJ      supreme                  A5.1+++ S7.1+++ 
0003563 020  NN1     court                    G2.1 H3 M7/K5.2 
0003563 030  VVZ@    rules                    S7.1+ Q1.2 X6+ 
0003563 040  CST     that                     Z5 Z8 
0003563 050  NN2     states                   G1.1c O4.1 
0003563 060  VM      can                      A7+ 
0003563 070  VVI     prohibit                 S7.4- 
0003563 080  JJ      unauthorized             S7.4- 
0003563 090  NN1     employment               I3.1 
0003563 100  II      by                       Z5 
0003563 110  NN2     aliens                   M7/S2mf W1/S2mf 
0003565 010  NN1     xenophobia               E2--/M7 
0003565 020  CC      and                      Z5 
0003565 030  NN1     immigration              M1/M7 
0003565 040  MC      1820                     N1[i598.2.1 T3[i598.2.1 T1.2[i598.2.1 T1.3[i598.2.1 N3.3[i598.2.1 N3.5[i598.2.1 I1[i598.2.1 N1 T1.2 T3 T1.3 N3.2 
0003565 050  MC      1930                     N1[i598.2.2 T3[i598.2.2 T1.2[i598.2.2 T1.3[i598.2.2 N3.3[i598.2.2 N3.5[i598.2.2 I1[i598.2.2 N1 T1.2 T3 T1.3 N3.2 
0003567 010  NN1     american                 Z2/S2mf 
0003567 020  NN1     catholicism              S9 A6.2+ 
0003567 030  CC      and                      Z5 
0003567 040  JJ      european                 Z2 
0003567 050  NN2     immigrants               M1/M7/S2mf 
0003567 060  MC      1900                     N1[i599.2.1 T3[i599.2.1 T1.2[i599.2.1 T1.3[i599.2.1 N3.3[i599.2.1 N3.5[i599.2.1 I1[i599.2.1 N1 T1.2 T3 T1.3 N3.2 
0003567 070  MC      1924                     N1[i599.2.2 T3[i599.2.2 T1.2[i599.2.2 T1.3[i599.2.2 N3.3[i599.2.2 N3.5[i599.2.2 I1[i599.2.2 N1 T1.2 T3 T1.3 N3.2 
0003569 010  NN2     mexican-americans        Z99 
0003569 020  RT      tomorrow                 T1.1.3 
0003569 030  JJ      educational              P1 
0003569 040  CC      and                      Z5 
0003569 050  JJ      economic                 I1.3- I2.1 
0003569 060  NN2     perspectives             X4.1 C1 
0003571 010  NN1     education                P1 X2.3+ 
0003571 020  IO      of                       Z5 
0003571 030  AT      the                      Z5 
0003571 040  JJ      spanish-speaking         Z99 
0003571 050  JJ      urban                    M7 
0003571 060  NN1     child                    S2mf/T3- S4mf 
0003571 070  AT1     a                        Z5 
0003571 080  NN1     book                     Q4.1 Q1.2 K5.1/I1 
0003571 090  IO      of                       Z5 
0003571 100  NN2     readings                 Q3 Q1.2 X3.2+ X2.5+ A10+ G2.1 
0003573 010  NN1     flight                   M5 M1 H2 
0003573 020  II      to                       Z5 
0003573 030  NN1     america                  Z2 
0003575 010  NN2     letters                  Q1.2 Q3 
0003575 020  II      from                     Z5 
0003575 030  AT      the                      Z5 
0003575 040  JJ@     promised                 A7+/Q2.2 A8 
0003575 050  NN1     land                     W3 M7 
0003575 060  NN2     swedes                   Z2/S2mf F1 
0003575 070  II      in                       Z5 
0003575 080  NN1     america                  Z2 
0003575 090  MC      1840                     N1[i600.2.1 T3[i600.2.1 T1.2[i600.2.1 T1.3[i600.2.1 N3.3[i600.2.1 N3.5[i600.2.1 I1[i600.2.1 N1 T1.2 T3 T1.3 N3.2 
0003575 100  MC      1914                     N1[i600.2.2 T3[i600.2.2 T1.2[i600.2.2 T1.3[i600.2.2 N3.3[i600.2.2 N3.5[i600.2.2 I1[i600.2.2 N1 T1.2 T3 T1.3 N3.2 
0003577 010  AT1     a                        Z5 
0003577 020  NN      folk                     S2mf K2 
0003577 030  NN1     epic                     Q3 N3.2+ 
0003577 040  AT      the                      Z5 
0003577 050  NN1     bygdelag                 Z99 
0003577 060  II      in                       Z5 
0003577 070  NN1     america                  Z2 
0003579 010  VV0     send                     M2 A2.2 
0003579 020  DD2     these                    Z8 Z5 
0003579 030  II      to                       Z5 
0003579 040  PPIO1   me                       Z8mf 
0003579 050  NN2     jews                     S9/S2mf 
0003579 060  CC      and                      S2mf[i601.2.1 Z5 
0003579 070  JJ      other                    S2mf[i601.2.2 A6.1- 
0003579 080  NN2     immigrants               M1/M7/S2mf 
0003579 090  II      in                       Z5 
0003579 100  JJ      urban                    M7 
0003579 110  NN1     america                  Z2 
0003581 010  NN1     zion                     Z2 
0003581 020  II      in                       Z5 
0003581 030  NN1     america                  Z2 
0003581 040  AT      the                      Z5 
0003581 050  JJ      jewish                   S9 
0003581 060  NN1     experience               X2.2+ X9.1+ I3.2 A2.1+/A3+ X3 
0003581 070  II      from                     Z5 
0003581 080  JJ      colonial                 M7/S7.1 C1 
0003581 090  NNT2    times                    T1 T1.2 T1.3 T1.1.2 N6 N1 
0003581 100  II      to                       Z5 
0003581 110  AT      the                      Z5 
0003581 120  JJ      present                  T1.1.2 A3+ 
0003583 010  NN1     action                   A1.1.1 G3 
0003583 020  VV0     franaise                 Z99 
0003583 030  JJ      french                   Z2 
0003583 040  JJ      canadian                 Z2 
0003583 050  NN1     nationalism              G1.2/M7 
0003583 060  II      in                       Z5 
0003583 070  AT      the                      Z5 
0003583 080  MC2     twenties                 T3 T1.3 N1 
0003585 010  JJ      encyclopedic             N5.1+ 
0003585 020  NN1     directory                Q1.3/Q4.1 Q4.1 Y2 
0003585 030  IO      of                       Z5 
0003585 040  JJ      ethnic                   S5+ 
0003585 050  NN2     organizations            S5+c S7.1+ 
0003585 060  II      in                       Z5 
0003585 070  AT      the                      Z5 
0003585 080  JJ      united                   Z2c[i602.2.1 S5+ 
0003585 090  NN2     states                   Z2c[i602.2.2 G1.1c O4.1 
0003587 010  VV0     reisebericht             Z99 
0003587 020  FU      der                      Z3c 
0003587 030  NN1     familie                  Z99 
0003587 040  NN2     kpfli                    Z99 
0003587 050  VV0     suppiger                 Z99 
0003587 060  FW      nach                     Z99 
0003587 070  NNU     st                       N3.5 
0003587 080  NN1     louis                    Z1m 
0003587 090  RA@     am                       T1.3 
0003587 100  NN2     mississippi              Z2 
0003587 110  NP1     und                      Z99 
0003587 120  VVD     grndung                  Z99 
0003587 130  NP1     von                      Z99 
0003587 140  JJ      new-switzerland          Z99 
0003587 150  NN1     im                       Z99 
0003587 160  NN1     staate                   Z99 
0003587 170  NN1     illinois                 Z99 
0003589 010  AT1     a                        Z5 
0003589 020  NN1     emigrao                  Z99 
0003589 030  NN1     portuguesa               Z99 
0003591 010  FW      la                       Z2 
0003591 020  VV0     gense                    Z99 
0003591 030  NP1     de                       Z5 
0003591 040  NN1     nova                     W1 
0003591 050  NN1     friburgo                 Z99 
0003591 060  NN1     emigration               M1/M7 
0003591 070  NP1     et                       Z3 
0003591 080  NN1     colonisation             Z99 
0003591 090  NN1     suisse                   Z2 
0003591 100  NNU     au                       Z99 
0003591 110  NN1     brsil                    Z99 
0003591 120  MC      1817                     N1[i603.2.1 T3[i603.2.1 T1.2[i603.2.1 T1.3[i603.2.1 N3.3[i603.2.1 N3.5[i603.2.1 I1[i603.2.1 N1 T1.2 T3 T1.3 N3.2 
0003591 130  MC      1827                     N1[i603.2.2 T3[i603.2.2 T1.2[i603.2.2 T1.3[i603.2.2 N3.3[i603.2.2 N3.5[i603.2.2 I1[i603.2.2 N1 T1.2 T3 T1.3 N3.2 
0003593 010  JJ      ethnic                   S5+ 
0003593 020  NN      dynamics                 X4.2 M1 Y1 
0003593 030  NN2     patterns                 X4.2 O4.1 O4.3 B5/Q1.2 
0003593 040  IO      of                       Z5 
0003593 050  JJ      intergroup               Z99 
0003593 060  NN2     relations                A2.2 S1.1.1 S4 S3.2 
0003593 070  II      in                       Z5 
0003593 080  JJ      various                  A6.3+ 
0003593 090  NN2     societies                S5+ 
0003595 010  NN1     rizzo                    Z99 
0003597 010  JJ      international            M7 
0003597 020  NN1     newsletter               Q4.2 
0003597 030  II      on                       Z5 
0003597 040  NN1     migration                M1 
0003599 010  JJ      triumphant               X9.2+ 
0003599 020  NN2     transitions              A2.1+ 
0003599 030  JJ      socioeconomic            S1.1.1/I2.1 
0003599 040  NN2     achievements             X9.2+ 
0003599 050  IO      of                       Z5 
0003599 060  AT      the                      Z5 
0003599 070  MD      second                   N4/T1.3[i604.2.1 N4 
0003599 080  NN1     generation               N4/T1.3[i604.2.2 T1.3 S5+c 
0003599 090  II      in                       Z5 
0003599 100  NN1     canada                   Z2 
0003601 010  NN1     language                 Q3 Y2 
0003601 020  NN1     skill                    X9.1+ 
0003601 030  NN1     definition               Q2.2 O4.1 
0003601 040  AT1     a                        Z5 
0003601 050  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0003601 060  IO      of                       Z5 
0003601 070  JJ@     legalized                Z99 
0003601 080  NN2     aliens                   M7/S2mf W1/S2mf 
0003603 010  II      from                     Z5 
0003603 020  NN2     refugees                 M1/S2mf 
0003603 030  II      to                       Z5 
0003603 040  NN2     immigrants               M1/M7/S2mf 
0003603 050  AT      the                      Z5 
0003603 060  NN1     legalization             Z99 
0003603 070  NN2     strategies               X7+ 
0003603 080  IO      of                       Z5 
0003603 090  JJ      salvadoran               Z2/S2mf 
0003603 100  NN2     immigrants               M1/M7/S2mf 
0003603 110  CC      and                      Z5 
0003603 120  NN2     activists                G1.2/S2mf 
0003605 010  JJ      social                   S1.1.1 
0003605 020  NN2     remittances              I1.1/A9- 
0003605 030  NN1     migration                M1/A2.2[i605.2.1 M1 
0003605 040  VVN     driven                   M1/A2.2[i605.2.2 M3 A1.1.1 X5.2+ M2 S7.1+ 
0003605 050  JJ      local-level              Z99 
0003605 060  NN2     forms                    A4.1 O4.4 Q1.2 O4.1 P1@ H5@ K5.1@ G2.1-@ B1@ 
0003605 070  IO      of                       Z5 
0003605 080  JJ      cultural                 C1 S1.1.1 S5+ 
0003605 090  NN1     diffusion                M1 O1.2 
0003607 010  VVG     governing                S7.1+ A1.7+ 
0003607 020  II      at                       Z5 
0003607 030  AT1     a                        Z5 
0003607 040  NN1     distance                 N3.3+ S1.2.1- 
0003607 050  AT      the                      Z5 
0003607 060  NN1     elaboration              Z99 
0003607 070  IO      of                       Z5 
0003607 080  NN2     controls                 S7.1+ A1.7+ O2 
0003607 090  II      in                       Z5 
0003607 100  JJ      british                  Z2 Z2/S2mfnc 
0003607 110  NN1     immigration              M1/M7 
0003609 010  VVG     reforming                A2.1+ 
0003609 020  AT      the                      Z5 
0003609 030  NN1     household                S4c B4 
0003609 040  NN1     registration             Q1.2/G1.1 
0003609 050  NN1     system                   X4.2 O3 M3 M4 Q1.3 Y2 B1 N2 G1.1c 
0003609 060  AT1     a                        Z5 
0003609 070  JJ      preliminary              N4 
0003609 080  NN1     glimpse                  X3.4 
0003609 090  IO      of                       Z5 
0003609 100  AT      the                      Z5 
0003609 110  JJ      blue                     O4.3 S1.2.4- G1.2 
0003609 120  NN1     chop                     A1.1.1 F1 K5.1 I3.1- W3/M4 B1/L2 
0003609 130  NN1     household                S4c B4 
0003609 140  NN1     registration             Q1.2/G1.1 
0003609 150  NN1     system                   X4.2 O3 M3 M4 Q1.3 Y2 B1 N2 G1.1c 
0003609 160  II      in                       Z5 
0003609 170  VV0     shanghai                 Z2 
0003609 180  CC      and                      Z5 
0003609 190  NN1     shenzhen                 Z2 
0003611 010  VBR     are                      A3+ Z5 
0003611 020  PPHS2   they                     Z8mfn 
0003611 030  JJ      fellow                   S5+/S2m[i606.2.1 
0003611 040  NN2     countrymen               S5+/S2m[i606.2.2 M7/S2mf 
0003611 050  CC      or                       Z5 
0003611 060  XX      not                      Z6 
0003611 070  AT      the                      Z5 
0003611 080  NN1     migration                M1 
0003611 090  IO      of                       Z5 
0003611 100  JJ      ethnic                   S5+ 
0003611 110  NN2     poles                    Z2/S2mf O2 
0003611 120  II      from                     Z5 
0003611 130  NN1     kazakhstan               Z2 
0003611 140  II      to                       Z5 
0003611 150  NN1     poland                   Z2 
0003613 010  NN1     gender                   S2 
0003613 020  NN2     differences              A6.1- 
0003613 030  II      in                       Z5 
0003613 040  AT      the                      Z5 
0003613 050  JJ      occupational             I3.1 
0003613 060  NN1     status                   S7.1 A4.1 A11.1 
0003613 070  IO      of                       Z5 
0003613 080  JJ      undocumented             Q1.2- X2.2- 
0003613 090  NN2     immigrants               M1/M7/S2mf 
0003613 100  II      in                       Z5 
0003613 110  AT      the                      Z5 
0003613 120  JJ      united                   Z2c[i607.2.1 S5+ 
0003613 130  NN2     states                   Z2c[i607.2.2 G1.1c O4.1 
0003613 140  VV0     experience               A2.1+/A3+ X3 
0003613 150  II      before                   Z5 
0003613 160  CC      and                      Z5 
0003613 170  II      after                    Z5 
0003613 180  NN1     legalization             Z99 
0003615 010  NN2     migrations               M1 
0003615 020  II      in                       Z5 
0003615 030  JJ      central                  A11.1+ M6 
0003615 040  CC      and                      Z5 
0003615 050  JJ      eastern                  M6 
0003615 060  NN1     europe                   Z2 
0003617 010  AT      the                      Z5 
0003617 020  JJ      demographic              S5+ 
0003617 030  NN1     struggle                 X8+ A12- E3- 
0003617 040  IF      for                      Z5 
0003617 050  NN1     power                    S7.1+ O3 S1.2.5+ N2@ 
0003617 060  AT      the                      Z5 
0003617 070  JJ      political                G1.2 
0003617 080  NN1     economy                  I2.1 I1.3- 
0003617 090  IO      of                       Z5 
0003617 100  JJ      demographic              S5+ 
0003617 110  NN1     engineering              Y1 S7.1+ A1.1.1 
0003617 120  II      in                       Z5 
0003617 130  AT      the                      Z5 
0003617 140  JJ      modern                   T3- 
0003617 150  NN1     world                    W1 S5+c A4.1 N5+ 
0003619 010  NN1     modernity                Z99 
0003619 020  RR21    at                       A1.7-[i608.2.1 
0003619 030  RR22    large                    A1.7-[i608.2.2 
0003619 040  JJ      cultural                 C1 S1.1.1 S5+ 
0003619 050  NN2     dimensions               A4.1 N3.2 
0003619 060  IO      of                       Z5 
0003619 070  NN1     globalization            Z99 
0003621 001  "       "                        
0003621 002  "       "                        
0003623 010  TO      to                       Z5 
0003623 020  VBI     be                       A3+ Z5 
0003623 030  AT1     an                       Z5 
0003623 040  NN1     american                 Z2/S2mf 
0003623 050  JJ      cultural                 C1 S1.1.1 S5+ 
0003623 060  NN1     pluralism                A6.3+ 
