AU,TI,PY,JO
"Oucho, John O.",Emigration Dynamics of Eastern African Countries,1995,International Migration
"Diarra, Sekouba",Emigration from the Sahel,1995,International Migration
"Shah, Nasra M.",Emigration Dynamics from and within South Asia,1995,International Migration
"Mathur, M. D.",Emigration Dynamics: The Indian Context,1995,International Migration
"Gunatilleke, Godfrey","The Economic, Demographic, Sociocultural and Political Setting for Emigration from Sri Lanka",1995,International Migration
"Mahmood, Raisul Awal",Emigration Dynamics in Bangladesh,1995,International Migration
"Azam, Farooq-i",Emigration Dynamics in Pakistan,1995,International Migration
"Beenstock, Michael",The Acquisition of Language Skills by Immigrants: The Case of Hebrew in Israel,1996,International Migration
"Bailey, Adrian J.",The Circular Migration of Puerto Rican Women: Towards a Gendered Explanation,1996,International Migration
"Hawthorne, Lesleyanne",Asian Student Migration to Australia1,1996,International Migration
"Mahmood, Raisul Awal","Labour Crunch, Foreign Workers and Policy Responses: The Experience of Japan1",1996,International Migration
"Samuel, T.J.",India-born Immigrants in Australia and Canada: A Comparison of Selected Characteristics,1996,International Migration
"Barbero-Baconnier, Julie",MIGRANT WOMEN: THE PATH FROM BEIJING,1996,International Migration
"Hugo, Graeme",AUSTRALIA'S POPULATION AND THE GLOBAL LINKS,1996,International Migration
"Chinchilla, Norma Stoltz",Global Economic Restructuring and International Migration:,1996,International Migration
"Clarke, Harry",United Kingdom Labour Emigration and Capital Exports 1816–1991,1996,International Migration
"Icduygu, Ahmet",Becoming a New Citizen in an Immigration Country: Turks in Australia and Sweden and Some Comparative Implications,1996,International Migration
"Iskander, Mahmoud A.",An Optimized Model for Substitution of Expatriate Workforce in a Gulf-Council Country: The Kuwaiti Case,1996,International Migration
"Xideas, E.",The Economic Determinants of Greek Return Migration to the Islands of the East Aegean,1996,International Migration
"Appleyard, Reginald",The Relevance of Research on Emigration Dynamics for Policy Makers in Sub-Saharan Africa,1996,International Migration
"Lohrmann, Reinhard",Environmentally-Induced Population Displacements And Environmental Impacts From Mass Migrations,1996,International Migration
"Ekberg, Jan",Labour Market Career among Young Finnish Immigrants in Sweden: A Longitudinal Study,1996,International Migration
"Kirisçi, Kemal",Refugees of Turkish Origin: “Coerced Immigrants” to Turkey since 1945,1996,International Migration
"Iredale, Robyn",Human Resources Development in APEC and Australia's Migration and Training Policies,1996,International Migration
"Shields, Michael P.",A Model of Temporary Migration: The Egyptian Case,1996,International Migration
"Katseli, Louka T.",Illegal Immigration and Local Labour Markets: The Case of Northern Greece,1996,International Migration
"Appleyard, Reginald","Emigration Dynamics In Mexico, Central America And The Caribbean.",1996,International Migration
"Horowitz, Tamar",Value-Oriented Parameters in Migration Policies in the 1990s: The Israeli Experience,1996,International Migration
"Wickramasekara, Piyasiri",International Labour Migration Statistics in Asia: An Appraisal,1996,International Migration
"Hassan, Riaz",Residential Choices of Immigrants in Australia,1996,International Migration
"Liu, Xiao-Feng","A Case Study of the Labour Market Status of Recent Mainland Chinese Immigrants, Metropolitan Toronto",1996,International Migration
"Golub, Branka",Croatian Scientists' Drain and its Roots,1996,International Migration
"Appleyard, Reginald",Emigration Dynamics In South Asia.,1996,International Migration
"Appleyard, Reginald",Emigration Dynamics In The Arab Region,1996,International Migration
"Hill, Lloyd",Emergent Migration Policy in a Democratic South Africa,1997,International Migration
"Kamerschen, David R.",Migration as a Consumption Activity,1997,International Migration
"Heer, David M.",Unauthorized Mexican Workers in the 1990 Los Angeles County Labour Force,1997,International Migration
"Drbohlav, Dusan",Migration Policy Objectives for European East-West International Migration,1997,International Migration
"Hui, Weng-Tat","Regionalization, Economic Restructuring and Labour Migration in Singapore",1997,International Migration
"Neo, Leanne M.",Immigrant Unemployment: The Australian Experience,1997,International Migration
"Ben Menahem, Yitzhak",The Labour Market Absorption of CIS Immigrants to Israel: 1989–1994,1997,International Migration
"Halli, S.S.","A Comparative Study of Immigrant and Non-immigrant Families in Canada with Special Reference to Income, 1986",1997,International Migration
"Lebok, U.H.",The Fertility of Migrants Before and After Crossing the Border: The Ethnic German Population from the Former Soviet Union as a Case Study,1997,International Migration
"Roer-Strier, Dorit",In the Mind of the Beholder: Evaluation of Coping Styles of Immigrant Parents,1997,International Migration
"Farrag, Mayar",Managing International Migration in Developing Countries,1997,International Migration
"Içduygu, Ahmet",The Consequences of International Migration for the Status of Women: A Turkish Study,1997,International Migration
"Gold, Gerald",Constructing Ethnicity: Myth of Return and Modes of Exclusion among Israelis in Toronto,1997,International Migration
"Hawthorne, Lesleyanne",The Question of Discrimination: Skilled Migrants’ Access to Australian Employment,1997,International Migration
"Glytsos, Nicholas P.",Greek Immigrants in Australia: Demographic Developments and Economic Integration,1997,International Migration
"Stein, Jeremy",Migration as a Business: The Case of Trafficking,1997,International Migration
"Yanay, Uri",Temporary and Illegal Labour Migration: The Israeli Experience,1997,International Migration
"Abusharaf, Rogaia M.",Sudanese Migration to the New World: Socio-economic Characteristics,1997,International Migration
"Kadıoğlu, Ayşe",Migration Experiences of Turkish Women: Notes from a Researcher’s Diary,1997,International Migration
"Nault, François","Fertility among Recent Immigrant Women to Canada, 1991: An Examination of the Disruption Hypothesis",1997,International Migration
"Shuval, Judith T.",Migration To Israel: The Mythology of “Uniqueness”,1998,International Migration
"Liu, Xi’an",From Student to Citizen: A Survey of Students from the People’s Republic of China (PRC) in Australia,1998,International Migration
"Jesilow, Paul",Conveying a Sense of Community along Bolsa Avenue: Little Saigon as a Model of Ethnic Commercial Belts,1998,International Migration
"Langfield, Michele",The Welsh Patagonian Connection: A Neglected Chapter in Australian Immigration History,1998,International Migration
"Passaris, Constantine",The Role of Immigration in Canada’s Demographic Outlook,1998,International Migration
"Bertrand, Didier","Refugees and Migrants, Migrants and Refugees. An Ethnological Approach",1998,International Migration
"Jones, H.",A Cultural Economy Perspective on Service Sector Migration in the Global City: The Case of Hong Kong,1998,International Migration
"Khoo, Louisa-May","Home, Work and Community: Skilled International Migration and Expatriate Women in Singapore",1998,International Migration
"Chen, Shyh-Jer",Characteristics and Assimilation of Chinese Immigrants in the US Labour Market,1998,International Migration
"Akokpari, John K.","The State, Refugees and Migration in Sub-Saharan Africa",1998,International Migration
"Buckley, Cynthia",Forced Migration and Destination Choice: Armenian Forced Settlers and Refugees in the Russian Federation,1998,International Migration
"Salvo, J.J.",Resurgent Irish Immigration to the US in the 1980s and early 1990s: A Socio-demographic Profile,1998,International Migration
"Semyonov, Moshe","Best of Times, Worst of Times, and Occupational Mobility: The Case of Soviet Immigrants in Israel",1998,International Migration
"Kulu, Hill",Ethnic Return Migration: An Estonian Case,1998,International Migration
"Marr, William","The Unemployment Insurance Compensation Usage of Canada’s Immigrants in Selected Provinces, 1981–1988",1998,International Migration
"Karafolas, Simeon",Migrant Remittances in Greece and Portugal: Distribution by Country of Provenance and the Role of the Banking Presence,1998,International Migration
"Clarke, Harry","International Trade, Labour Migrations and Capital Flows: Long-Term Evidence for Australia, Canada, the United Kingdom and the United States",1998,International Migration
"Taslim, M.A.",Do Migrants Worsen the Current Account?,1998,International Migration
UNAIDS and IOM,Migration and AIDS,1998,International Migration
"Robinson, Noah Jamie",West and Central Africa,1998,International Migration
"Girdler-Brown, Brendan",Eastern and Southern Africa,1998,International Migration
"Bain, Irene",South-East Asia,1998,International Migration
"Axmann, Agnes",Eastern Europe and Community of Independent States,1998,International Migration
"Bronfman, Mario",Mexico and Central America,1998,International Migration
"Castles, Stephen",International Migration and the Global Agenda: Reflections on the 1998 UN Technical Symposium,1999,International Migration
"Zlotnik, Hania",Trends of International Migration since 1965: What Existing Data Reveal,1999,International Migration
"Taylor, Edward J.",The New Economics of Labour Migration and the Role of Remittances in the Migration Process,1999,International Migration
"Iredale, Robyn",The Need to Import Skilled Personnel: Factors Favouring and Hindering its International Mobility,1999,International Migration
"Crush, Jonathan",The Discourse and Dimensions of Irregularity in Post-Apartheid South Africa,1999,International Migration
"Escobar-Latapí, Agustin","Low-Skill Emigration from Mexico to the United States. Current Situation, Prospects and Government Policy",1999,International Migration
"Thomas-Hope, Elizabeth",Return Migration to Jamaica and its Development Potential,1999,International Migration
"Nair, P.R. Gopinathan",Return of Overseas Contract Workers and their Rehabilitation and Development in Kerala (India),1999,International Migration
"Mbow, Ndiaga",Releasing the Development Potential of Return Migration: The Case of Senegal,1999,International Migration
"Noll, Gregor",Rejected Asylum Seekers: The Problem of Return,1999,International Migration
"McBride, Michael J.",Migrants and Asylum Seekers: Policy Responses in the United States to Immigrants and Refugees from Central America and the Caribbean,1999,International Migration
"Tomas, Patricia Santo",Enhancing the Capabilities of Emigration Countries to Protect Men and Women Destined for Low-Skilled Employment: The Case of the Philippines,1999,International Migration
"Menon, Indu",Chain Migration Through the Social Network: Experience of Labour Migrants in Kuwait,1999,International Migration
"Lee, Anh T.",Self-Employment and Earnings Among Migrants in Australia,1999,International Migration
"Olshtain-Mann, Orly",To See and Not be Seen: Latin American Illegal Foreign Workers in Jerusalem,1999,International Migration
"Logan, B.I.",The Reverse Transfer of Technology from Sub-Saharan Africa: The Case of Zimbabwe,1999,International Migration
"Sinclair, Marion Ryan",“I know a place that is softer than this...”– Emerging Migrant Communitites in South Africa,1999,International Migration
"Coleman, David",New Light on Mediterranean Migration,1999,International Migration
"Black, Richard",Limits to Harmonization: The “Temporary Protection” of Refugees in the European Union,1999,International Migration
"Stahl, Charles W.",Trade in Labour Services and Migrant Worker Protection with Special Reference to East Asia,1999,International Migration
"Spiro, Shimon E.",Immigrants in a Restructuring Economy: A Partial Test of Theories,1999,International Migration
"Portnov, Boris A.",The Effect of Regional Inequalities on Migration: A Comparative Analysis of Israel and Japan,1999,International Migration
"Blom, Svein",Residential Concentration Among Immigrants in Oslo,1999,International Migration
"Chiswick, Carmel U.",Macroeconomic Determinants of Migration: The Case of Germany 1964-1988,1999,International Migration
"Reniers, Georges",On the History and Selectivity of Turkish and Moroccan Migration to Belgium,1999,International Migration
"Poyago-Theotoky, Joanna",Undocumented Migrants in Greece: Issues of Regularization,1999,International Migration
"Kiosseoglou, Grigoris",Return Migration: Changing Roles of Men and Women,1999,International Migration
"Goza, Franklin",Brazilian Immigration to Ontario,1999,International Migration
"Geva-May, Iris",On Impacts of Comparative Policy Analysis. Immigration to Israel:What other Countries can Learn,2000,International Migration
"Basavarajappa, K.G.","Distribution, Inequality and Concentration of Incomeamong Older Immigrants in Canada",2000,International Migration
"Carey, Malcolm",Peopling Skilled International Migration: Indian Doctors in the UK,2000,International Migration
"Halli, Shiva S.",The Colour of Poverty: A Study of the Poverty of Ethnic and Immigrant Groups in Canada,2000,International Migration
"Zang, Xiaowei",Ecological Succession and Asian Immigrants in Australia,2000,International Migration
"Tseng, Yen-Fen",The Mobility of Entrepreneurs and Capital: Taiwanese Capital-Linked Migration,2000,International Migration
"Harrell-Bond, Barbara",Refugee Women in Europe: Some Aspects of the Legal and Policy Dimensions,2000,International Migration
"McDonald, Christopher","Chipping Away at the Fortress: Unions, Immigration and the Transnational Labour Market",2000,International Migration
"Basok, Tanya","He Came, He Saw, He Stayed. Guest Worker Programmes and the Issue of Non-Return",2000,International Migration
"Hammarstedt, Mats",The Receipt of Transfer Payments by Immigrants in Sweden,2000,International Migration
"Johnston, Ron",The Occupational Attainment of Immigrant Groups in Australia,2000,International Migration
"Salt, John",Note from the Guest Editor,2000,International Migration
"Skeldon, Ronald",Trafficking: A Perspective from Asia,2000,International Migration
"Salt, John",Trafficking and Human Smuggling: A European Perspective,2000,International Migration
"Okólski, Marek",Illegality of International Population Movements in Poland,2000,International Migration
"Koser, Khalid","Asylum Policies, Trafficking and Vulnerability",2000,International Migration
"Van Impe, Kristof",People for Sale: The Need for a Multidisciplinary Approach towards Human Trafficking,2000,International Migration
"Lohrmann, Reinhard","Migrants, Refugees and Insecurity. Current Threats to Peace?",2000,International Migration
"Van Krieken, Peter",Return and Responsibility,2000,International Migration
"Grosfoguel, Ramon",The Demographic and Socio-Economic Characteristics of Post-1965 Immigrants to New York City: A Comparative Analysis by National Origin,2000,International Migration
"Al-Qudsi, Sulayman S.",Profiles of Refugee and Non-Refugee Palestinians from the West Bank and Gaza,2000,International Migration
"Rahman, Md. Mizanur",Emigration and Development: The Case of a Bangladeshi Village,2000,International Migration
"Massey, Douglas S.",Seeking Social Security: An Alternative Motivation for Mexico-US Migration,2000,International Migration
"Joly, Danièle",Some Structural Effects of Migration on Receiving and Sending Countries,2000,International Migration
"Shuval, Judith T.",Diaspora Migration: Definitional Ambiguities and a Theoretical Paradigm,2000,International Migration
"Arowolo, Oladele O.",Return Migration and the Problem of Reintegration,2000,International Migration
"Katz, Ruth",Attitudes of New Immigrant and Veteran-Resident Israeli Divorced Mothers Toward Single Motherhood,2000,International Migration
"Shahid Hassan, M.D.",Why Do Migrant Workers Intend to Extend Their Stay in Host Countries? The Case of Bangladeshi Workers in Malaysia's Manufacturing Sector,2000,International Migration
"Taran, Patrick",Introduction,2001,International Migration
"Taran, Patrick A.",Human Rights of Migrants: Challenges of the New Decade,2001,International Migration
"Mattila, Heikki S.",Protection of Migrants' Human Rights: Principles and Practice,2001,International Migration
"Rodriguez, Gabriela",The Role of the United Nations Special Rapporteur on the Human Rights of Migrants,2001,International Migration
"Mooney, Erin D.",Principles of Protection for Internally Displaced Persons,2001,International Migration
"Crush, Jonathan","The Dark Side of Democracy: Migration, Xenophobia and Human Rights in South Africa",2001,International Migration
"Iglicka, Krystyna",Migration Movements from and into Poland in the Light of East-West European Migration,2001,International Migration
"Peixoto, João","Migration and Policies in the European Union: Highly Skilled Mobility, Free Movement of Labour and Recognition of Diplomas",2001,International Migration
"Rajan, S.Irudaya",Impact of Migration on Kerala's Economy and Society,2001,International Migration
"Siklos, Pierre L.",Propensity of Canada's Foreign-born to Claim Unemployment Insurance Benefits,2001,International Migration
"Khoo, Siew-Ean",The Context of Spouse Migration to Australia,2001,International Migration
"Lianos, Theodore P.",Illegal Migrants to Greece and their Choice of Destination,2001,International Migration
"Gushulak, B.D.",The Medical Assessment of Migrants: Current Limitations and Future Potential,2001,International Migration
"Rajan, S. Irudaya","Social, Economic and Demographic Consequences of Migration on Kerala",2001,International Migration
"King, Jackie",Factors Affecting Australia’s Refugee Policy: The Case of the Kosovars,2001,International Migration
"Portnov, Boris A.",Employment-Housing Paradigm of Internal Migration: Evidence from Norway,2001,International Migration
"Kaplan, Rabbi Dana Evan",The Jewish Exodus from the New South Africa: Realities and Implications,2001,International Migration
"Repetto, Gaston L.",The Effect of Linguistic Distance and Country of Origin on Immigrant Language Skills: Application to Israel,2001,International Migration
"Ambrosini, Murizio",The Role of Immigrants in the Italian Labour Market,2001,International Migration
"Dijkhoff, N.",Female Asylum-Seekers in the Netherlands: An Empirical Study,2001,International Migration
"Yom-Tov, Anat","Metropolitan Labour Markets, Peripheral Labour Markets and Socio-economic Outcomes among Immigrants to Israel",2001,International Migration
"Lewin, Fereshteh Ahmadi",Identity Crisis and Integration: The Divergent Attitudes of Iranian Immigrant Men and Women towards Integration into Swedish Society,2001,International Migration
"Appleyard, Reginald",Note from the Editor,2001,International Migration
"Afolayan, A.A.",Issues and Challenges of Emigration Dynamics in Developing Countries,2001,International Migration
"Muradoglu, Gülnur",Socio-economic Development and International Migration: A Turkish Study,2001,International Migration
"Pace, Roberta",Some Migration Dynamics Specific to Southern Europe: South-North and East-West Axis,2001,International Migration
"Brandi, M. Carolina",Skilled Immigrants in Rome,2001,International Migration
"Bankston III, Carl L.",Family Pressure and the Educational Experience of the Daughters of Vietnamese Refugees,2001,International Migration
"Iredale, Robyn",The Migration of Professionals: Theories and Typologies,2001,International Migration
"Mahroum, Sami",Europe and the Immigration of Highly Skilled Labour,2001,International Migration
"Khadria, Binod",Shifting Paradigms of Globalization: The Twenty-first Century Transition Towards Generics in Skilled Migration from India,2001,International Migration
"Xiang, Biao",Structuration of Indian Information Technology Professionals’ Migration to Australia: An Ethnographic Study,2001,International Migration
"Meyer, Jean-Baptiste",Network Approach versus Brain Drain: Lessons from the Diaspora,2001,International Migration
"Pellegrino, Adela",Trends in Latin American Skilled Migration: “Brain Drain” or “Brain Exchange”?,2001,International Migration
"Appleyard, Reginald",International Migration Policies: 1950-2000,2001,International Migration
"Geddes, Andrew",International Migration and State Sovereignty in an Integrating Europe,2001,International Migration
"Adepoju, Aderanti",Regional Organizations and Intra-Regional Migration in Sub-Saharan Africa: Challenges and Prospects,2001,International Migration
"Von Koppenfels, Amanda Klekowski",Informal but Effective: Regional Consultative Processes as a Tool in Managing Migration,2001,International Migration
"Koser, Khalid",New Approaches to Asylum?,2001,International Migration
"Keely, Charles",Replacement Migration: the wave of the future?,2001,International Migration
"Glytsos, Nicholas P.",The Role of Migrant Remittances in Development: Evidence from Mediterranean Countries,2002,International Migration
"Entorf, Horst",Rational Migration Policy Should Tolerate Non-zero Illegal Migration Flows: Lessons from Modelling the Market for Illegal Migration,2002,International Migration
"Cavounidis, Jennifer",Migration in Southern Europe and the Case of Greece,2002,International Migration
"Rooth, Dan-Olof",Adopted Children in the Labour Market — Discrimination or Unobserved Characteristics?,2002,International Migration
"Remennick, Larissa",Survival of the Fittest: Russian Immigrant Teachers Speak about Their Professional Adjustment in Israel,2002,International Migration
"Adepoju, Aderanti","Fostering Free Movement of Persons in West Africa: Achievements, Constraints, and Prospects for Intraregional Migration",2002,International Migration
"Polian, Pavel",The Jewish Emigration from the Former Soviet Union to Germany,2002,International Migration
"Al-Haj, Majid",Identity Patterns among Immigrants from the Former Soviet Union in Israel: Assimilation vs. Ethnic Formation,2002,International Migration
"Mullan, Brendan",Ethnic Communities and Ethnic Organizations Reconsidered: South-East Asians and Eastern Europeans in Chicago,2002,International Migration
"Ryan, Jan",Chinese Women as Transnational Migrants: Gender and Class in Global Migration Narratives,2002,International Migration
"Straubhaar, Thomas",Best Practices to Reduce Migration Pressures,2002,International Migration
"Martin, Susan",Averting Forced Migration in Countries in Transition,2002,International Migration
"Weil, Patrick",Towards a Coherent Policy of Co–Development,2002,International Migration
,Introduction,2002,International Migration
"Martin, Susan",Best Practice Options: Yugoslavia,2002,International Migration
"Straubhaar, Thomas",Best Practice Options: Romania,2002,International Migration
"Weil, Patrick",Best Practice Options: Mali,2002,International Migration
"Pastore, Ferruccio",Best Practice Options: Albania,2002,International Migration
"Teitelbaum, Michael",Best Practice Options: Turkey,2002,International Migration
"Massey, Douglas S.",Return Migration by German Guestworkers: Neoclassical versus New Economic Theories,2002,International Migration
"Greenhill, Kelly M.",Engineered Migration and the Use of Refugees as Political Weapons: A Case Study of the 1994 Cuban Balseros Crisis,2002,International Migration
"Pribilsky, Jason",The Panic to Leave: Economic Crisis and the “New Emigration” from Ecuador,2002,International Migration
"McDonald, Peter",Adjusting for Change of Status in International Migration: Demographic Implications,2002,International Migration
"Kippen, Rebecca",The Impact of Long–term Visitor Migration on Projections of Australia’s Population,2002,International Migration
"Ouaked, Said",Transatlantic Roundtable on High–skilled Migration and Sending Countries Issues,2002,International Migration
"Engberg–Pedersen, Poul",The Migration–Development Nexus Evidence and Policy Options State–of–the–Art Overview,2002,International Migration
"Engberg–Pedersen, Poul",The Migration–Development Nexus: Evidence and Policy Options,2002,International Migration
"Chimni, B.S.","Aid, Relief, and Containment: The First Asylum Country and Beyond",2002,International Migration
"Jacobsen, Karen",Livelihoods in Conflict: The Pursuit of Livelihoods by Refugees and the Impact on the Human Security of Host Communities,2002,International Migration
"Olesen, Henrik","Migration, Return, and Development: An Institutional Perspective",2002,International Migration
"Stalker, Peter",Migration Trends and Migration Policy in Europe,2002,International Migration
"Gammeltoft, Peter",Remittances and Other Financial Flows to Developing Countries,2002,International Migration
"Martin, Philip",Managing Migration: The Role of Economic Instruments,2002,International Migration
"Jazayery, Leila",The Migration–Development Nexus: Afghanistan Case Study,2002,International Migration
"Gundel, Joakim",The Migration–Development Nexus: Somalia Case Study,2002,International Migration
"Sriskandarajah, Dhananjayan",The Migration–Development Nexus: Sri Lanka Case Study,2002,International Migration
"Joly, Danièle",Odyssean and Rubicon Refugees: Toward a Typology of Refugees in the Land of Exile,2002,International Migration
"Toktas, Sule",How do Smuggling and Trafficking Operate via Irregular Border Crossings in the Middle East? Evidence from Fieldwork in Turkey,2002,International Migration
"Hawthorne, Lesleyanne",Qualifications Recognition Reform for Skilled Migrants in Australia: Applying Competency-based Assessment to Overseas-qualified Nurses,2002,International Migration
"Chang, Shu-ming",The Commodification of International Marriages: Cross-border Marriage Business in Taiwan and Viet Nam,2002,International Migration
"Adepoju, Aderanti",Continuity and Changing Configurations of Migration to and from the Republic of South Africa,2003,International Migration
"Halli, Shiva S.",Double Advantage? Violence Against Canadian Migrant Women from “Developed” Nations,2003,International Migration
"Horowitz, Tamar",The Increasing Political Power of Immigrants from the Former Soviet Union in Israel: From Passive Citizenship to Active Citizenship,2003,International Migration
"Fagen, Patricia Weiss",Protecting Refugee Women and Children,2003,International Migration
"Keely, Charles B.",Globalization Transforms Trade-Migration Equation,2003,International Migration
"Basok, Tanya",Mexican Seasonal Migration to Canada and Development: A Community-based Comparison,2003,International Migration
"Khawaja, Marwan",Migration and the Reproduction of Poverty: The Refugee Camps in Jordan,2003,International Migration
"Rawlinson, Stephen",Highly Skilled and Business Migrants: Information Processes and Settlement Outcomes,2003,International Migration
"Levanon, Varda",Finding an Adequate Job: Employment and Income of Recent Immigrants to Israel,2003,International Migration
"Schindlmayr, Thomas","Sovereignty, Legal Regimes, and International Migration",2003,International Migration
"Martin, Susan",Mexico-US Migration: Moving the Agenda Forward,2003,International Migration
"Laczko, Frank",Introduction: Understanding Migration between China and Europe,2003,International Migration
"Biao, Xiang",Emigration from China: A Sending Country Perspective,2003,International Migration
"Chin, James K.",Reducing Irregular Migration from China,2003,International Migration
"Zhang, Guochu",Migration of Highly Skilled Chinese to Europe: Trends and Perspective,2003,International Migration
"Thunø, Mette",Channels of Entry and Preferred Destinations: The Circumvention of Denmark by Chinese Immigrants,2003,International Migration
"Guerassimoff, Carine",The New Chinese Migrants in France,2003,International Migration
"Giese, Karsten",New Chinese Migration to Germany: Historical Consistencies and New Patterns of Diversification within a Globalized Migration Regime,2003,International Migration
"Ceccagno, Antonella",New Chinese Migrants in Italy,2003,International Migration
"Nieto, Gladys",The Chinese in Spain,2003,International Migration
"Nyíri, Pál",Chinese Migration to Eastern Europe,2003,International Migration
"Thunø, Mette",Conclusion,2003,International Migration
"Meyers, Deborah Waller",Does “Smarter” Lead to Safer? An Assessment of the US Border Accords with Canada and Mexico,2003,International Migration
"Miller, Paul W.",Patterns of Immigrant Occupational Attainment in a Longitudinal Survey,2003,International Migration
"Campbell, Eugene K.",Attitudes of Botswana Citizens toward Immigrants: Signs of Xenophobia?,2003,International Migration
"Kerr, Don",Family Change and Economic Well-being in Canada: The Case of Recent Immigrant Families with Children,2003,International Migration
"Haberfeld, Yitchak",Economic Integration among Children of Israeli Immigrants in the United States,2003,International Migration
"Rajan, S. Irudaya",The Impact of Immigration Policy on Indian Contract Migrants: The Case of the United Arab Emirates,2003,International Migration
"Schoenholtz, Andrew I.",Transatlantic Dialogue on Terrorism and International Migration,2003,International Migration
"Muggah, Robert",A Tale of Two Solitudes: Comparing Conflict and Development-induced Internal Displacement and Involuntary Resettlement,2003,International Migration
"Smyth, Russell",The Determinants of Immigration from Fiji to New Zealand: An Empirical Reassessment using the Bounds Testing Approach,2003,International Migration
"Tilbury, Farida",“Active” and “Passive” Resettlement: The Influence of Support Services and Refugees' own Resources on Resettlement Style,2003,International Migration
"Palasz, Nicole",English Language Proficiency of Immigrants and Refugees in the Twin Cities Metropolitan Area,2003,International Migration
"DeMaris, Alfred",Unemployment Transitions among Brazilians in the United States and Canada,2003,International Migration
"Remennick, Larissa",Retired and Making a Fresh Start: Older Russian Immigrants Discuss their Adjustment in Israel,2003,International Migration
"Khoo, Siew-Ean",Sponsorship of Relatives for Migration and Immigrant Settlement Intention,2003,International Migration
"Pandalangat, Nalini",Community in Distress: Mental Health Needs and Help-seekingin the Tamil Community in Toronto,2003,International Migration
"Long, Lynellyn D.",Anthropological Perspectives on the Trafficking of Women for Sexual Exploitation,2004,International Migration
"Grundy-Warr, Carl","The Irregular Migrant as Homo Sacer: Migration and Detention in Australia, Malaysia, and Thailand",2004,International Migration
"Brandon, Peter D.",The Child Care Arrangements of Preschool-Age Children in Immigrant Families in the United States,2004,International Migration
"Borschevsky, Nikolay","National Minority, National Mentality, and Communal Ethnicity: Changes in Ethnic Identity of Former Soviet Union Jewish Emigrants on the Israeli Kibbutz",2004,International Migration
"Kemper, Yvonne B.",Transatlantic Roundtable on Low-skilled Migration in the Twenty-first Century: Prospect and Policies,2004,International Migration
"Bhabha, Jacqueline",Seeking Asylum Alone: Treatment of Separated and Trafficked Children in Need of Refugee Protection,2004,International Migration
"Bump, Micah N.","Poultry, Apples, and New Immigrants in the Rural Communities of the Shenandoah Valley: An Ethnographic Case Study",2004,International Migration
"Pries, Ludger",Determining the Causes and Durability of Transnational Labour Migration between Mexico and the United States: Some Empirical Findings,2004,International Migration
"Reis, Michele",Theorizing Diaspora: Perspectives on “Classical” and “Contemporary” Diaspora,2004,International Migration
"Ghamari-Tabrizi, Behrooz",Loving America and Longing for Home: Isma'il al-Faruqi and the Emergence of the Muslim Diaspora in North America,2004,International Migration
"Lien, Pei-te",Behind the Numbers: Talking Politics with Foreign-born Chinese Americans,2004,International Migration
"Wong, Lloyd L.",Taiwanese Immigrant Entrepreneurs in Canada and Transnational Social Space,2004,International Migration
"Chiang, Lan-hung Nora",The Dynamics of Self-employment and Ethnic Business Ownership among Taiwanese in Australia,2004,International Migration
"Wijkström, Boris",Enhancing the Contribution of Migration Research to Policy Making: Intergovernmental Workshop,2004,International Migration
"Freedman, Jane",Secularism as a Barrier to Integration? The French Dilemma,2004,International Migration
"Offer, Shira",The Socio-economic Integration of the Ethiopian Community in Israel,2004,International Migration
"Kaufman, Roni","Personal Characteristics, Unemployment, and Anxiety among Highly Educated Immigrants",2004,International Migration
"Uehling, Greta",Irregular and Illegal Migration through Ukraine,2004,International Migration
"Vine, David",War and Forced Migration in the Indian Ocean: The US Military Base at Diego Garcia,2004,International Migration
"Morooka, Hideki",Recent Trends of Emigration from China: 1982–2000,2004,International Migration
"Kollár, Daniel",Temporary versus Permanent Youth Brain Drain: Economic Implications,2004,International Migration
"Veenman, Justus","Variation in Perspective: The Employment Success of Ethnic Minority Males in the Netherlands, 1988–2002",2004,International Migration
"Piracha, Matloob",International Migration and the Role of Remittances in Eastern Europe,2004,International Migration
"Nikitovic, Vladimir",Refugees from Bosnia and Herzegovina in Serbia: A Study of Refugee Selectivity,2004,International Migration
"Ossman, Susan",Studies in Serial Migration,2004,International Migration
"Kollár, Daniel",Temporary versus Permanent Youth Brain Drain: Economic Implications,2004,International Migration
"Veenman, Justus","Variation in Perspective: The Employment Success of Ethnic Minority Males in the Netherlands, 1988–2002",2004,International Migration
"Piracha, Matloob",International Migration and the Role of Remittances in Eastern Europe,2004,International Migration
"Nikitovic, Vladimir",Refugees from Bosnia and Herzegovina in Serbia: A Study of Refugee Selectivity,2004,International Migration
"Ossman, Susan",Studies in Serial Migration,2004,International Migration
"Melia, Michael. J.",Transatlantic Dialogue on Integration of Immigrant Children and Adolescents,2004,International Migration
"Laczko, Frank",Data and Research on Human Trafficking,2005,International Migration
"Brunovskis, Anette",Describing the Unobserved: Methodological Challenges in Empirical Studies on Human Trafficking,2005,International Migration
"Brennan, Denise",Methodological Challenges in Research with Trafficked Persons: Tales from the Field,2005,International Migration
"van der Linden, Mariska N.J.",Designing Trafficking Research from a Labour Market Perspective: The ILO Experience1,2005,International Migration
"Adepoju, Aderanti",Review of Research and Data on Human Trafficking in sub-Saharan Africa,2005,International Migration
"Collett, Elizabeth A.",Research on Human Trafficking in North America: A Review of Literature,2005,International Migration
